name,yearID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,X1B,AVG,OBP,SLG,OPS,IS0,X2B_PCT,X3B_PCT,HR_PCT,HR_H,RBI_PCT,RBI_H,R_PA,R_OB,SO_BB,SO_PCT,SB_PCT,SB_FREQ,SH_PCT,SF_PCT,GIDP_PCT,clust_dist
Lenny Randle,1975,156,601,85,166,24,7,4,57,16,19,57,80,3,4,10,4,8,684,131,0.276,0.341,0.359,0.700,0.083,0.035,0.010,0.006,0.024,0.083,0.343,0.124,0.374,1.404,0.117,0.457,0.070,0.015,0.006,0.012,1.209598292
Al Woods,1977,122,440,58,125,17,4,6,35,8,7,36,38,3,0,6,3,11,496,98,0.284,0.336,0.382,0.718,0.098,0.034,0.008,0.012,0.048,0.071,0.280,0.117,0.360,1.056,0.077,0.533,0.050,0.012,0.006,0.022,1.231822615
Robin Yount,1979,149,577,72,154,26,5,8,51,11,8,35,52,3,1,10,3,15,641,115,0.267,0.308,0.371,0.679,0.104,0.041,0.008,0.012,0.052,0.080,0.331,0.112,0.379,1.486,0.081,0.579,0.058,0.016,0.005,0.023,1.309014348
Denard Span,2016,143,572,70,152,23,5,11,53,12,7,53,79,2,4,6,2,8,645,113,0.266,0.331,0.381,0.712,0.115,0.036,0.008,0.017,0.072,0.082,0.349,0.109,0.335,1.491,0.122,0.632,0.057,0.009,0.003,0.012,1.317162896
Buddy Bell,1975,153,553,66,150,20,4,10,59,6,5,51,72,6,1,10,4,11,630,116,0.271,0.332,0.376,0.708,0.105,0.032,0.006,0.016,0.067,0.094,0.393,0.105,0.327,1.412,0.114,0.545,0.030,0.016,0.006,0.017,1.3659567
Jon Jay,2018,143,527,74,141,19,7,3,40,4,3,33,95,0,18,5,3,11,597,112,0.268,0.330,0.347,0.678,0.080,0.032,0.012,0.005,0.021,0.067,0.284,0.124,0.385,2.879,0.159,0.571,0.021,0.008,0.005,0.018,2.082671351
Jose Peraza,2018,157,632,85,182,31,4,14,58,23,6,29,75,4,9,8,5,12,695,133,0.288,0.326,0.416,0.742,0.128,0.045,0.006,0.020,0.077,0.083,0.319,0.122,0.386,2.586,0.108,0.793,0.105,0.012,0.007,0.017,2.097110215
Ender Inciarte,2018,156,597,83,158,27,6,10,61,28,14,49,86,1,6,4,4,6,666,115,0.265,0.325,0.380,0.705,0.116,0.041,0.009,0.015,0.063,0.092,0.386,0.125,0.390,1.755,0.129,0.667,0.131,0.006,0.006,0.009,2.119870678
David Fletcher,2018,80,284,35,78,18,2,1,25,3,0,15,34,0,3,3,2,7,314,57,0.275,0.316,0.363,0.678,0.088,0.057,0.006,0.003,0.013,0.080,0.321,0.111,0.365,2.267,0.108,1.000,0.031,0.010,0.006,0.022,2.389762028
Elvis Andrus,2018,97,395,53,101,20,3,6,33,5,3,28,66,0,3,0,2,8,436,72,0.256,0.308,0.367,0.675,0.111,0.046,0.007,0.014,0.059,0.076,0.327,0.122,0.402,2.357,0.151,0.625,0.038,0.000,0.005,0.018,2.39477249
Cluster  7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Esasky,1985,125,413,61,108,21,0,21,66,3,4,41,102,3,4,3,3,9,473,66,0.262,0.332,0.465,0.797,0.203,0.044,0.000,0.044,0.194,0.140,0.611,0.129,0.399,2.488,0.216,0.429,0.020,0.006,0.006,0.019,1.37855435
Jay Bruce,2011,157,585,84,150,27,2,32,97,8,7,71,158,14,5,1,2,8,672,89,0.256,0.341,0.474,0.814,0.217,0.040,0.003,0.048,0.213,0.144,0.647,0.125,0.372,2.225,0.235,0.533,0.035,0.001,0.003,0.012,1.394888469
Rick Ankiel,2008,120,413,65,109,21,2,25,71,2,1,42,100,3,5,0,3,8,471,61,0.264,0.337,0.506,0.843,0.242,0.045,0.004,0.053,0.229,0.151,0.651,0.138,0.417,2.381,0.212,0.667,0.013,0.000,0.006,0.017,1.408810967
Larry Parrish,1987,152,557,79,149,22,1,32,100,3,1,49,154,7,3,0,4,10,623,94,0.268,0.328,0.483,0.811,0.215,0.035,0.002,0.051,0.215,0.161,0.671,0.127,0.393,3.143,0.247,0.750,0.015,0.000,0.006,0.016,1.447544818
Steve Balboni,1985,160,600,74,146,28,2,36,88,1,1,52,166,4,5,0,5,14,676,80,0.243,0.307,0.477,0.783,0.233,0.041,0.003,0.053,0.247,0.130,0.603,0.109,0.365,3.192,0.246,0.500,0.005,0.000,0.007,0.021,1.470854745
Yasmani Grandal,2018,140,440,65,106,23,2,24,68,2,1,72,124,1,3,0,3,12,530,57,0.241,0.349,0.466,0.815,0.225,0.043,0.004,0.045,0.226,0.128,0.642,0.123,0.359,1.722,0.234,0.667,0.011,0.000,0.006,0.023,1.535767308
Michael Conforto,2018,153,543,78,132,25,1,28,82,3,4,84,159,8,7,0,4,10,648,78,0.243,0.350,0.448,0.797,0.204,0.039,0.002,0.043,0.212,0.127,0.621,0.120,0.350,1.893,0.245,0.429,0.013,0.000,0.006,0.015,1.619496265
Matt Olson,2018,162,580,85,143,33,0,29,84,2,1,70,163,3,8,0,2,13,673,81,0.247,0.335,0.453,0.788,0.207,0.049,0.000,0.043,0.203,0.125,0.587,0.126,0.385,2.329,0.242,0.667,0.009,0.000,0.003,0.019,1.826508691
Ryan Braun,2018,125,405,59,103,25,1,20,64,11,5,34,85,5,2,0,3,8,452,57,0.254,0.313,0.469,0.782,0.215,0.055,0.002,0.044,0.194,0.142,0.621,0.131,0.424,2.500,0.188,0.688,0.079,0.000,0.007,0.018,1.867913645
C. J. Cron,2018,140,501,68,127,28,1,30,74,1,2,37,145,2,17,0,5,11,571,68,0.253,0.323,0.493,0.816,0.240,0.049,0.002,0.053,0.236,0.130,0.583,0.119,0.376,3.919,0.254,0.333,0.006,0.000,0.009,0.019,1.878216517
Cluster  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolan Arenado,2018,156,590,104,175,38,2,38,110,2,2,73,122,10,3,1,6,16,689,97,0.297,0.374,0.561,0.935,0.264,0.055,0.003,0.055,0.217,0.160,0.629,0.151,0.414,1.671,0.177,0.500,0.008,0.001,0.009,0.023,1.316546609
Moises Alou,1998,159,584,104,182,34,5,38,124,11,3,84,87,11,5,0,6,14,693,105,0.312,0.399,0.582,0.981,0.271,0.049,0.007,0.055,0.209,0.179,0.681,0.150,0.384,1.036,0.126,0.786,0.041,0.000,0.009,0.020,1.327320637
Fernando Tatis,1999,149,537,104,160,31,2,34,107,21,9,82,128,4,16,0,4,11,650,93,0.298,0.404,0.553,0.957,0.255,0.048,0.003,0.052,0.213,0.165,0.669,0.160,0.403,1.561,0.197,0.700,0.081,0.000,0.006,0.017,1.424933571
Matt Stairs,1997,133,352,62,105,19,0,27,73,3,2,50,60,1,3,1,4,6,416,59,0.298,0.386,0.582,0.969,0.284,0.046,0.000,0.065,0.257,0.175,0.695,0.149,0.392,1.200,0.144,0.600,0.019,0.002,0.010,0.014,1.434247893
Manny Ramirez,1995,137,484,85,149,26,1,31,107,6,6,75,112,6,5,2,5,13,584,91,0.308,0.402,0.558,0.960,0.250,0.045,0.002,0.053,0.208,0.183,0.718,0.146,0.371,1.493,0.192,0.500,0.026,0.003,0.009,0.022,1.453737857
Nolan Arenado,2018,156,590,104,175,38,2,38,110,2,2,73,122,10,3,1,6,16,689,97,0.297,0.374,0.561,0.935,0.264,0.055,0.003,0.055,0.217,0.160,0.629,0.151,0.414,1.671,0.177,0.500,0.008,0.001,0.009,0.023,1.316546609
J. D. Martinez,2018,150,569,111,188,37,2,43,130,6,1,69,146,11,4,0,7,19,668,106,0.330,0.402,0.629,1.031,0.299,0.055,0.003,0.064,0.229,0.195,0.691,0.166,0.425,2.116,0.219,0.857,0.023,0.000,0.010,0.028,2.545371628
Christian Yelich,2018,147,574,118,187,34,7,36,110,22,4,68,135,2,7,0,2,14,665,110,0.326,0.402,0.598,1.000,0.272,0.051,0.011,0.054,0.193,0.165,0.588,0.177,0.450,1.985,0.203,0.846,0.084,0.000,0.003,0.021,2.809185586
Juan Soto,2018,116,414,77,121,25,1,22,70,5,2,79,99,10,0,1,0,9,503,73,0.292,0.406,0.517,0.923,0.225,0.050,0.002,0.044,0.182,0.139,0.579,0.153,0.385,1.253,0.197,0.714,0.025,0.002,0.000,0.018,2.94771129
Jose Ramirez,2018,157,578,110,156,38,4,39,105,34,6,106,80,15,8,0,6,2,700,75,0.270,0.387,0.552,0.939,0.282,0.054,0.006,0.056,0.250,0.150,0.673,0.157,0.407,0.755,0.114,0.850,0.126,0.000,0.009,0.003,3.048965421
Cluster  9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Webster,1987,156,588,101,165,30,8,15,63,33,10,70,95,5,6,8,4,6,682,112,0.281,0.361,0.435,0.796,0.155,0.044,0.012,0.022,0.091,0.092,0.382,0.148,0.419,1.357,0.139,0.767,0.137,0.012,0.006,0.009,1.267686333
Rafael Furcal,2006,159,654,113,196,32,9,15,63,37,13,73,98,3,1,5,3,7,743,140,0.300,0.369,0.445,0.814,0.145,0.043,0.012,0.020,0.077,0.085,0.321,0.152,0.419,1.342,0.132,0.740,0.137,0.007,0.004,0.009,1.461670001
Bump Wills,1977,152,541,87,155,28,6,9,62,28,12,65,96,7,0,7,4,10,627,112,0.287,0.361,0.410,0.771,0.124,0.045,0.010,0.014,0.058,0.099,0.400,0.139,0.395,1.477,0.153,0.700,0.127,0.011,0.006,0.016,1.464349117
Paul Molitor,1986,105,437,62,123,24,6,9,55,20,5,40,81,0,0,2,3,9,491,84,0.281,0.340,0.426,0.765,0.144,0.049,0.012,0.018,0.073,0.112,0.447,0.126,0.380,2.025,0.165,0.800,0.123,0.004,0.006,0.018,1.470175552
Chris Denorfia,2012,130,348,56,102,19,6,8,36,13,5,27,52,0,2,2,3,9,391,69,0.293,0.345,0.451,0.796,0.158,0.049,0.015,0.020,0.078,0.092,0.353,0.143,0.427,1.926,0.133,0.722,0.099,0.005,0.008,0.023,1.485003394
Andrew Benintendi,2018,148,579,103,168,41,6,16,87,21,3,71,106,1,2,2,7,9,670,105,0.290,0.366,0.465,0.830,0.174,0.061,0.009,0.024,0.095,0.130,0.518,0.154,0.427,1.493,0.158,0.875,0.087,0.003,0.010,0.013,2.200521002
Starling Marte,2018,145,559,81,155,32,5,20,72,33,14,35,109,2,8,1,3,11,617,98,0.277,0.327,0.460,0.787,0.182,0.052,0.008,0.032,0.129,0.117,0.465,0.131,0.409,3.114,0.177,0.702,0.167,0.002,0.005,0.018,2.441140099
Trea Turner,2018,162,664,103,180,27,6,19,73,43,9,69,132,3,5,2,0,7,747,128,0.271,0.344,0.416,0.760,0.145,0.036,0.008,0.025,0.106,0.098,0.406,0.138,0.406,1.913,0.177,0.827,0.169,0.003,0.000,0.009,2.504152443
Charlie Blackmon,2018,156,626,119,182,31,7,29,70,12,4,59,134,2,8,1,2,10,706,115,0.291,0.358,0.502,0.860,0.211,0.044,0.010,0.041,0.159,0.099,0.385,0.169,0.478,2.271,0.190,0.750,0.048,0.001,0.003,0.014,2.96722131
Whit Merrifield,2018,158,632,88,192,43,3,12,60,45,10,61,114,2,6,2,6,12,719,134,0.304,0.367,0.438,0.806,0.134,0.060,0.004,0.017,0.063,0.083,0.313,0.122,0.340,1.869,0.159,0.818,0.174,0.003,0.008,0.017,2.97205301
Cluster  10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Murray,1978,161,610,85,174,32,3,27,95,6,5,70,97,7,1,1,8,15,705,112,0.285,0.356,0.480,0.836,0.195,0.045,0.004,0.038,0.155,0.135,0.546,0.121,0.347,1.386,0.138,0.545,0.024,0.001,0.011,0.021,1.027083431
Josh Donaldson,2013,158,579,89,174,37,3,24,93,5,2,76,110,2,6,1,6,15,683,110,0.301,0.384,0.499,0.883,0.199,0.054,0.004,0.035,0.138,0.136,0.534,0.130,0.348,1.447,0.161,0.714,0.020,0.001,0.009,0.022,1.047978264
Adrian Beltre,2000,138,510,71,148,30,2,20,85,12,5,56,80,2,2,3,4,13,588,96,0.290,0.360,0.475,0.835,0.184,0.051,0.003,0.034,0.135,0.145,0.574,0.121,0.345,1.429,0.136,0.706,0.058,0.005,0.007,0.022,1.147230298
